#redVZ_deaths	redCV_deaths	redVZ_infection	redCV_infection
97.3	        78.6	                85.3	59.8
97.3	        78.6	                85.3	59.8
97.3        	78.6	                85.3	59.8
97.3        	78.6                	85.3	59.8
97.3        	78.6                	85.3	59.8
97.3        	78.6	                85.3	59.8
97.3        	78.6	                85.3	59.8
97.3        	78.6	                85.3	59.8
97.3	        78.6                	85.3	59.8
97.3        	78.6	                85.3	59.8
97.3	        78.6	                85.3	59.8
97.3	        78.6                	85.3	59.8
97.3        	78.6                	85.3	59.8
97.3        	78.6	                85.3	59.8
90.3        	77.8	                78.1	59.8
87.5800111112872	68.53892462426414	71.86931001456598	54.766396078301916
